SalaryUSD	Country	PrimaryDatabase	YearsWithThisDatabase	OtherDatabases	JobTitle	YearsWithThisTypeOfJob	Education	HoursWorkedPerWeek
200000	United States	Microsoft SQL Server	10	MySQL/MariaDB	DBA	5	Masters	45
61515	United Kingdom	Microsoft SQL Server	15	"Oracle, PostgreSQL"	DBA	3	None (no degree completed)	35
95000	Germany	Microsoft SQL Server	5	"Oracle, MySQL/MariaDB, Informix"	Other	25	Masters	45
56000	United Kingdom	Microsoft SQL Server	6		DBA	2	Associates (2 years)	40
35000	France	Microsoft SQL Server	10	Oracle	DBA	10	Bachelors (4 years)	40
215000	United Kingdom	Microsoft SQL Server	15		DBA	15	Bachelors (4 years)	35
75000	Germany	Microsoft SQL Server	16	Oracle	DBA	11	None (no degree completed)	40
47000	Netherlands	Microsoft SQL Server	4	Oracle	DBA	1	Masters	36
41000	United Kingdom	Microsoft SQL Server	3	"MySQL/MariaDB, PostgreSQL, Amazon RDS (any flavor)"	"Developer: App code (C#, JS, etc)"	2	Bachelors (4 years)	40
51652	United Kingdom	Microsoft SQL Server	8	"Microsoft Access, Redis, Azure SQL DB"	Engineer	10	None (no degree completed)	45
37500	Netherlands	Microsoft SQL Server	4		Developer: T-SQL	4	Bachelors (4 years)	36
60000	Belgium	Microsoft SQL Server	22	"Oracle, Microsoft Access, Sybase"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	8	Masters	40
137500	United States	Microsoft SQL Server	16	"Azure SQL DB, Amazon RDS (any flavor)"	DBA	6	None (no degree completed)	55
63000	United Kingdom	Microsoft SQL Server	7	Oracle	Developer: T-SQL	3	Bachelors (4 years)	37
85000	United States	Microsoft SQL Server	8	"MySQL/MariaDB, PostgreSQL, Microsoft Access"	DBA	2	Bachelors (4 years)	50
96000	United States	Microsoft SQL Server	5	Microsoft Access	DBA	5	Masters	45
90000	United Kingdom	Microsoft SQL Server	22		DBA	1	Bachelors (4 years)	37
66000	United States	Microsoft SQL Server	10	"Microsoft SQL Server, PostgreSQL, MongoDB, Microsoft Access, Redis, Azure SQL DB, DocumentDB"	"Developer: App code (C#, JS, etc)"	10	Associates (2 years)	60
101750	United States	Microsoft SQL Server	13	Oracle	DBA	13	None (no degree completed)	60
83000	Canada	Microsoft SQL Server	15		"Developer: App code (C#, JS, etc)"	10	Bachelors (4 years)	40
45000	Canada	Microsoft SQL Server	10	"Oracle, DB2"	DBA	4	Associates (2 years)	42
78000	United States	Azure SQL DB	5	"Microsoft SQL Server, MongoDB, Microsoft Access"	DBA	10	Associates (2 years)	60
123000	United States	Microsoft SQL Server	7	Oracle	DBA	7	Bachelors (4 years)	45
100800	United States	Microsoft SQL Server	16	"Oracle, Microsoft Access"	Architect	6	Bachelors (4 years)	40
148000	United States	Microsoft SQL Server	16		Developer: T-SQL	12	Masters	40
113000	United States	Microsoft SQL Server	15	"SAP, Azure SQL DB, Greenplum"	Architect	1	Masters	40
40000	Poland	Microsoft SQL Server	10		DBA	2	Masters	40
80000	United States	Microsoft SQL Server	3	"Oracle, DB2"	DBA	3	Bachelors (4 years)	45
133500	United States	Microsoft SQL Server	18	PostgreSQL	DBA	18	Masters	40
102000	United States	Microsoft SQL Server	10	MySQL/MariaDB	DBA	4	Bachelors (4 years)	50
74000	United Kingdom	Microsoft SQL Server	9	"MySQL/MariaDB, Azure SQL DB"	Developer: T-SQL	5	None (no degree completed)	40
52000	United States	Microsoft SQL Server	2		Developer: T-SQL	2	None (no degree completed)	45
95000	Ukraine	Microsoft SQL Server	5	"Oracle, Microsoft Access"	DBA	2	Masters	40
107690	United States	Microsoft SQL Server	7	"Oracle, MySQL/MariaDB, Microsoft Access, SQLite, Teradata"	Engineer	3	Bachelors (4 years)	40
107000	Australia	Microsoft SQL Server	10		DBA	3	Bachelors (4 years)	45
84000	Germany	Microsoft SQL Server	12	"Microsoft SQL Server, PostgreSQL, MongoDB"	Architect	4	Bachelors (4 years)	40
140000	United States	Microsoft SQL Server	13	"Oracle, Azure SQL DB"	Architect	1	None (no degree completed)	40
29511	India	Microsoft SQL Server	14		DBA	14	Masters	40
165000	United States	Microsoft SQL Server	18	"MySQL/MariaDB, MongoDB, Cassandra, Azure SQL DB, Amazon RDS (any flavor)"	DBA	1	None (no degree completed)	40
200000	United States	Microsoft SQL Server	10	"MySQL/MariaDB, PostgreSQL, MongoDB, Cassandra, Microsoft Access, Elasticsearch, Azure SQL DB, Amazon RDS (any flavor)"	DBA	1	Bachelors (4 years)	65
133000	United States	Microsoft SQL Server	9	Microsoft SQL Server	DBA	9	Associates (2 years)	40
67000	Canada	Microsoft SQL Server	10	"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL"	DBA	1	Bachelors (4 years)	37
122500	United States	Microsoft SQL Server	20	"DB2, Microsoft Access"	DBA	1	None (no degree completed)	50
120000	United States	Microsoft SQL Server	7	"Microsoft SQL Server, Microsoft Access"	DBA	7	Bachelors (4 years)	45
145000	United States	Microsoft SQL Server	5	"Microsoft SQL Server, PostgreSQL"	Developer: T-SQL	5	Masters	48
95000	United States	Microsoft SQL Server	20	"Oracle, MySQL/MariaDB, Teradata"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	2	None (no degree completed)	45
77600	United States	Microsoft SQL Server	2	"MySQL/MariaDB, PostgreSQL"	"Developer: App code (C#, JS, etc)"	3	Masters	40
46000	Canada	Microsoft SQL Server	3	Microsoft Access	DBA	2	Bachelors (4 years)	45
140000	United States	Microsoft SQL Server	16	"Oracle, Azure SQL DB"	Architect	27	Masters	40
23000	India	Microsoft SQL Server	9	"Microsoft SQL Server, Oracle, Amazon RDS (any flavor)"	Architect	3	Masters	40
138000	United States	Microsoft SQL Server	10	"Azure SQL DB, Azure SQL DW and Azure DocumentDB"	Architect	8	Masters	45
110000	United States	Microsoft SQL Server	15		Architect	1	Masters	50
40000	Belgium	Microsoft SQL Server	5	"Microsoft SQL Server, Oracle, PostgreSQL, Azure SQL DB"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	5	Bachelors (4 years)	40
